Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUtot(m),U1(m),U2(m),N(kN)
Phase_20,Backfill to 105.75 mATD [Phase_20],-23.375000,98.300000,1,3,-0.004286,-0.062994,0.063139,-0.001299,-0.000228,0.001319,0.004286,0.062994,728.188850
Phase_20,Backfill to 105.75 mATD [Phase_20],-34.660000,98.300000,1,3,-0.016964,-0.113943,0.115199,-0.001193,-0.000034,0.001193,0.016964,0.113943,728.188850
Phase_35,Apply Surcharge [Phase_35],-23.375000,102.000000,2,1,-0.009695,-0.063237,0.063976,-0.000336,-0.000225,0.000404,0.009695,0.063237,139.119095
Phase_35,Apply Surcharge [Phase_35],-34.660000,102.000000,2,1,-0.015862,-0.114034,0.115131,-0.000346,-0.000070,0.000353,0.015862,0.114034,139.119095
Phase_35,Apply Surcharge [Phase_35],-18.112500,100.000000,3,2,-0.032948,0.008193,0.033951,-0.000561,-0.000570,0.000799,0.008193,-0.032948,-259.096154
Phase_35,Apply Surcharge [Phase_35],-18.112500,100.050000,3,2,-0.034087,0.008049,0.035024,-0.000608,-0.000570,0.000833,0.008049,-0.034087,-259.096154
Phase_35,Apply Surcharge [Phase_35],-23.375000,98.300000,1,3,-0.004620,-0.063219,0.063388,-0.000334,-0.000225,0.000403,0.004620,0.063219,725.391826
Phase_35,Apply Surcharge [Phase_35],-34.660000,98.300000,1,3,-0.017262,-0.114014,0.115313,-0.000299,-0.000070,0.000307,0.017262,0.114014,725.391826
Phase_22,Remove Construction Surcharge [Phase_22],-23.375000,102.000000,2,1,-0.009792,-0.062324,0.063088,-0.000097,0.000913,0.000918,0.009792,0.062324,110.614766
Phase_22,Remove Construction Surcharge [Phase_22],-34.660000,102.000000,2,1,-0.015306,-0.112958,0.113990,0.000556,0.001075,0.001211,0.015306,0.112958,110.614766
Phase_22,Remove Construction Surcharge [Phase_22],-18.112500,100.000000,3,2,-0.033048,0.008432,0.034107,-0.000101,0.000238,0.000259,0.008432,-0.033048,-263.050264
Phase_22,Remove Construction Surcharge [Phase_22],-18.112500,100.050000,3,2,-0.034212,0.008287,0.035202,-0.000125,0.000238,0.000269,0.008287,-0.034212,-263.050264
Phase_22,Remove Construction Surcharge [Phase_22],-23.375000,98.300000,1,3,-0.004813,-0.062309,0.062494,-0.000193,0.000910,0.000931,0.004813,0.062309,668.929073
Phase_22,Remove Construction Surcharge [Phase_22],-34.660000,98.300000,1,3,-0.016734,-0.112941,0.114174,0.000528,0.001072,0.001195,0.016734,0.112941,668.929073
Phase_23,Remove Fill in Cofferdam 1 [Phase_23],-18.112500,100.000000,3,2,-0.033383,0.009089,0.034598,-0.000335,0.000657,0.000737,0.009089,-0.033383,-272.541059
Phase_23,Remove Fill in Cofferdam 1 [Phase_23],-18.112500,100.050000,3,2,-0.034596,0.008944,0.035734,-0.000384,0.000657,0.000761,0.008944,-0.034596,-272.541059
Phase_23,Remove Fill in Cofferdam 1 [Phase_23],-23.375000,98.300000,1,3,-0.005164,-0.060071,0.060292,-0.000351,0.002238,0.002265,0.005164,0.060071,437.143913
Phase_23,Remove Fill in Cofferdam 1 [Phase_23],-34.660000,98.300000,1,3,-0.014125,-0.110623,0.111521,0.002610,0.002319,0.003491,0.014125,0.110623,437.143913
Phase_24,Remove Fill in Cofferdam 2 [Phase_24],-18.112500,100.000000,3,2,-0.034173,0.009879,0.035572,-0.000790,0.000791,0.001118,0.009879,-0.034173,-275.113951
Phase_24,Remove Fill in Cofferdam 2 [Phase_24],-18.112500,100.050000,3,2,-0.035326,0.009735,0.036642,-0.000729,0.000791,0.001076,0.009735,-0.035326,-275.113951
Phase_24,Remove Fill in Cofferdam 2 [Phase_24],-23.375000,98.300000,1,3,-0.007361,-0.057764,0.058231,-0.002197,0.002307,0.003186,0.007361,0.057764,88.676235
Phase_24,Remove Fill in Cofferdam 2 [Phase_24],-34.660000,98.300000,1,3,-0.011871,-0.108849,0.109494,0.002253,0.001774,0.002868,0.011871,0.108849,88.676235
Phase_25,Remove Fill in Cofferdam 3 [Phase_25],-18.112500,100.000000,3,2,-0.036985,0.010473,0.038439,-0.002812,0.000594,0.002874,0.010473,-0.036985,-228.037246
Phase_25,Remove Fill in Cofferdam 3 [Phase_25],-18.112500,100.050000,3,2,-0.037427,0.010329,0.038826,-0.002102,0.000594,0.002184,0.010329,-0.037427,-228.037246
Phase_26,Remove Cofferdam [Phase_26],-18.112500,100.000000,3,2,-0.036865,0.011378,0.038581,0.000120,0.000905,0.000912,0.011378,-0.036865,-191.146376
Phase_26,Remove Cofferdam [Phase_26],-18.112500,100.050000,3,2,-0.037137,0.011233,0.038799,0.000290,0.000905,0.000950,0.011233,-0.037137,-191.146376
Phase_27,Consolidate [Phase_27],-18.112500,100.000000,3,2,-0.034216,0.013151,0.036657,0.002649,0.001773,0.003188,0.013151,-0.034216,-375.479208
Phase_27,Consolidate [Phase_27],-18.112500,100.050000,3,2,-0.035341,0.013006,0.037658,0.001796,0.001773,0.002524,0.013006,-0.035341,-375.479208
Phase_28,ULS DA1-C1 [Phase_28],-18.112500,100.000000,3,2,-0.036865,0.011379,0.038581,0.000001,0.000001,0.000001,0.011379,-0.036865,-191.117612
Phase_28,ULS DA1-C1 [Phase_28],-18.112500,100.050000,3,2,-0.037137,0.011234,0.038799,0.000001,0.000001,0.000001,0.011234,-0.037137,-191.117612
Phase_29,ULS DA1-C2 [Phase_29],-18.112500,100.000000,3,2,-0.036865,0.011379,0.038581,0.000001,0.000001,0.000001,0.011379,-0.036865,-191.117612
Phase_29,ULS DA1-C2 [Phase_29],-18.112500,100.050000,3,2,-0.037137,0.011234,0.038799,0.000001,0.000001,0.000001,0.011234,-0.037137,-191.117612
Phase_30,Final Safety [Phase_30],-18.112500,100.000000,3,2,-0.061619,0.021424,0.065238,-0.024754,0.010047,0.026715,0.021424,-0.061619,109.286527
Phase_30,Final Safety [Phase_30],-18.112500,100.050000,3,2,-0.054230,0.021281,0.058256,-0.017092,0.010047,0.019827,0.021281,-0.054230,109.286527
Phase_37,SLS Internal Load [Phase_37],-18.112500,100.000000,3,2,-0.036865,0.011379,0.038581,0.000001,0.000001,0.000001,0.011379,-0.036865,-191.117612
Phase_37,SLS Internal Load [Phase_37],-18.112500,100.050000,3,2,-0.037137,0.011234,0.038799,0.000001,0.000001,0.000001,0.011234,-0.037137,-191.117612
Phase_19,Ramped Internal Load [Phase_19],-18.112500,100.000000,3,2,-0.042060,-0.002028,0.042109,-0.005195,-0.013406,0.014377,-0.002028,-0.042060,-2366.846310
Phase_19,Ramped Internal Load [Phase_19],-18.112500,100.050000,3,2,-0.037403,-0.002178,0.037466,-0.000266,-0.013412,0.013414,-0.002178,-0.037403,-2366.846310
Phase_34,Apply Ship Impact to ATC Wall (420kPa) [Phase_34],-18.112500,100.000000,3,2,-0.028612,0.009085,0.030020,0.008253,-0.002293,0.008566,0.009085,-0.028612,-395.542273
Phase_34,Apply Ship Impact to ATC Wall (420kPa) [Phase_34],-18.112500,100.050000,3,2,-0.002645,0.008940,0.009324,0.034492,-0.002293,0.034568,0.008940,-0.002645,-395.542273
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-18.112500,100.000000,3,2,-0.030338,0.011249,0.032357,0.006527,-0.000128,0.006528,0.011249,-0.030338,-92.527982
Phase_38,Apply Ship Impact to NRW (930kPa) [Phase_38],-18.112500,100.050000,3,2,-0.028316,0.011105,0.030416,0.008821,-0.000128,0.008822,0.011105,-0.028316,-92.527982
Phase_39,Apply Ship Impact to ATC Wall (65kPa) [Phase_39],-18.112500,100.000000,3,2,-0.035189,0.011225,0.036936,0.001676,-0.000153,0.001683,0.011225,-0.035189,-198.411973
Phase_39,Apply Ship Impact to ATC Wall (65kPa) [Phase_39],-18.112500,100.050000,3,2,-0.033105,0.011080,0.034910,0.004032,-0.000153,0.004035,0.011080,-0.033105,-198.411973
Phase_46,Apply silo lc2 ULS DA1-C2 [Phase_46],-23.375000,102.000000,2,1,-0.009589,-0.056046,0.056860,-0.004685,-0.000572,0.004720,0.009589,0.056046,143.865671
Phase_46,Apply silo lc2 ULS DA1-C2 [Phase_46],-34.660000,102.000000,2,1,-0.015864,-0.109901,0.111040,-0.004893,-0.002463,0.005478,0.015864,0.109901,143.865671
Phase_46,Apply silo lc2 ULS DA1-C2 [Phase_46],-23.375000,98.300000,1,3,-0.003725,-0.056028,0.056151,-0.003884,-0.000572,0.003926,0.003725,0.056028,813.118686
Phase_46,Apply silo lc2 ULS DA1-C2 [Phase_46],-34.660000,98.300000,1,3,-0.017487,-0.109883,0.111265,-0.003997,-0.002463,0.004695,0.017487,0.109883,813.118686
Phase_50,Apply silo lc 2 ULS DA1-C1 [Phase_50],-23.375000,102.000000,2,1,-0.005414,-0.055475,0.055739,-0.000510,-0.000001,0.000510,0.005414,0.055475,134.693502
Phase_50,Apply silo lc 2 ULS DA1-C1 [Phase_50],-34.660000,102.000000,2,1,-0.011480,-0.107452,0.108063,-0.000508,-0.000013,0.000508,0.011480,0.107452,134.693502
Phase_50,Apply silo lc 2 ULS DA1-C1 [Phase_50],-23.375000,98.300000,1,3,-0.000294,-0.055457,0.055458,-0.000453,-0.000001,0.000453,0.000294,0.055457,801.164968
Phase_50,Apply silo lc 2 ULS DA1-C1 [Phase_50],-34.660000,98.300000,1,3,-0.013904,-0.107433,0.108329,-0.000413,-0.000013,0.000414,0.013904,0.107433,801.164968
Phase_42,Apply silo lc 1 [Phase_42],-23.375000,102.000000,2,1,-0.004448,-0.055466,0.055644,-0.000325,-0.000017,0.000326,0.004448,0.055466,134.747339
Phase_42,Apply silo lc 1 [Phase_42],-34.660000,102.000000,2,1,-0.010515,-0.107434,0.107948,-0.000333,0.000027,0.000334,0.010515,0.107434,134.747339
Phase_42,Apply silo lc 1 [Phase_42],-23.375000,98.300000,1,3,0.000572,-0.055447,0.055450,-0.000314,-0.000017,0.000315,-0.000572,0.055447,806.884562
Phase_42,Apply silo lc 1 [Phase_42],-34.660000,98.300000,1,3,-0.013111,-0.107415,0.108212,-0.000292,0.000027,0.000293,0.013111,0.107415,806.884562
Phase_47,Apply silo lc 1 ULS DA1-C2 [Phase_47],-23.375000,102.000000,2,1,-0.008194,-0.056074,0.056670,-0.003746,-0.000609,0.003795,0.008194,0.056074,147.683067
Phase_47,Apply silo lc 1 ULS DA1-C2 [Phase_47],-34.660000,102.000000,2,1,-0.014557,-0.109685,0.110646,-0.004042,-0.002250,0.004626,0.014557,0.109685,147.683067
Phase_47,Apply silo lc 1 ULS DA1-C2 [Phase_47],-23.375000,98.300000,1,3,-0.002562,-0.056056,0.056114,-0.003134,-0.000609,0.003193,0.002562,0.056056,824.223964
Phase_47,Apply silo lc 1 ULS DA1-C2 [Phase_47],-34.660000,98.300000,1,3,-0.016466,-0.109666,0.110895,-0.003356,-0.002251,0.004041,0.016466,0.109666,824.223964
Phase_48,Apply silo lc 1 ULC DA1-C1 [Phase_48],-23.375000,102.000000,2,1,-0.004610,-0.055472,0.055663,-0.000162,-0.000006,0.000162,0.004610,0.055472,134.814940
Phase_48,Apply silo lc 1 ULC DA1-C1 [Phase_48],-34.660000,102.000000,2,1,-0.010679,-0.107432,0.107961,-0.000164,0.000002,0.000164,0.010679,0.107432,134.814940
Phase_48,Apply silo lc 1 ULC DA1-C1 [Phase_48],-23.375000,98.300000,1,3,0.000422,-0.055454,0.055455,-0.000150,-0.000006,0.000150,-0.000422,0.055454,805.976160
Phase_48,Apply silo lc 1 ULC DA1-C1 [Phase_48],-34.660000,98.300000,1,3,-0.013249,-0.107413,0.108227,-0.000138,0.000002,0.000138,0.013249,0.107413,805.976160
Phase_43,Apply silo lc 3 [Phase_43],-23.375000,102.000000,2,1,-0.004179,-0.055451,0.055608,-0.000056,-0.000003,0.000056,0.004179,0.055451,134.493091
Phase_43,Apply silo lc 3 [Phase_43],-34.660000,102.000000,2,1,-0.010240,-0.107453,0.107940,-0.000058,0.000008,0.000058,0.010240,0.107453,134.493091
Phase_43,Apply silo lc 3 [Phase_43],-23.375000,98.300000,1,3,0.000831,-0.055433,0.055439,-0.000056,-0.000003,0.000056,-0.000831,0.055433,808.383093
Phase_43,Apply silo lc 3 [Phase_43],-34.660000,98.300000,1,3,-0.012871,-0.107434,0.108203,-0.000052,0.000008,0.000053,0.012871,0.107434,808.383093
Phase_45,Apply silo lc 3 ULS DA1-C2 [Phase_45],-23.375000,102.000000,2,1,-0.007731,-0.056099,0.056629,-0.003552,-0.000647,0.003611,0.007731,0.056099,148.148208
Phase_45,Apply silo lc 3 ULS DA1-C2 [Phase_45],-34.660000,102.000000,2,1,-0.014105,-0.109704,0.110607,-0.003865,-0.002251,0.004473,0.014105,0.109704,148.148208
Phase_45,Apply silo lc 3 ULS DA1-C2 [Phase_45],-23.375000,98.300000,1,3,-0.002146,-0.056080,0.056121,-0.002977,-0.000647,0.003047,0.002146,0.056080,827.513645
Phase_45,Apply silo lc 3 ULS DA1-C2 [Phase_45],-34.660000,98.300000,1,3,-0.016093,-0.109686,0.110860,-0.003222,-0.002251,0.003930,0.016093,0.109686,827.513645
Phase_49,Apply silo lc 3 ULS DA1-C1 [Phase_49],-23.375000,102.000000,2,1,-0.004158,-0.055448,0.055604,0.000020,0.000003,0.000021,0.004158,0.055448,134.470125
Phase_49,Apply silo lc 3 ULS DA1-C1 [Phase_49],-34.660000,102.000000,2,1,-0.010219,-0.107453,0.107938,0.000021,0.000000,0.000021,0.010219,0.107453,134.470125
Phase_49,Apply silo lc 3 ULS DA1-C1 [Phase_49],-23.375000,98.300000,1,3,0.000850,-0.055430,0.055436,0.000020,0.000003,0.000020,-0.000850,0.055430,808.504739
Phase_49,Apply silo lc 3 ULS DA1-C1 [Phase_49],-34.660000,98.300000,1,3,-0.012853,-0.107434,0.108200,0.000018,0.000000,0.000018,0.012853,0.107434,808.504739
Phase_21,Construction Safety [Phase_21],-23.375000,102.000000,2,1,-0.003286,-0.054405,0.054504,-0.000390,-0.000146,0.000416,0.003286,0.054405,135.588459
Phase_21,Construction Safety [Phase_21],-34.660000,102.000000,2,1,-0.009373,-0.107412,0.107820,-0.000451,-0.000262,0.000522,0.009373,0.107412,135.588459
Phase_21,Construction Safety [Phase_21],-23.375000,98.300000,1,3,0.001761,-0.054386,0.054414,-0.000329,-0.000146,0.000360,-0.001761,0.054386,825.223140
Phase_21,Construction Safety [Phase_21],-34.660000,98.300000,1,3,-0.012156,-0.107393,0.108079,-0.000421,-0.000262,0.000496,0.012156,0.107393,825.223140
